Case,Country Code,Country Name,Family importance,Friend importance,Happiness,Life satisfaction,Religious,Suicide justifiability,Employment status,age,Level of Education,Live with Parents,Continent
3,288.0,Ghana,0.9816326530612245,0.7272108843537415,0.8034013605442177,6.3244897959183675,0.9564625850340136,1.698639455782313,1.2108843537414966,32.43605442176871,3.505442176870748,0.35034013605442177,4.0
3,356.0,India,0.991157778391821,0.772589113014645,0.8079579994473611,6.140922906880354,0.8731693838076817,2.071843050566455,1.0599613152804641,39.71152252003316,3.8118264714009396,0.3597678916827853,7.0
3,368.0,Iraq,0.996039603960396,0.8336633663366336,0.700990099009901,5.897029702970297,0.8297029702970297,1.8396039603960397,1.0237623762376238,37.364356435643565,4.465346534653466,0.25742574257425743,7.0
3,392.0,Japan,0.9930875576036866,0.9625576036866359,0.9326036866359447,7.038018433179723,0.2857142857142857,2.5391705069124426,1.0109447004608294,48.74884792626728,6.611175115207374,0.3099078341013825,5.0
3,398.0,Kazakstan,0.9988962472406181,0.8653421633554084,0.8885209713024282,7.257174392935982,0.6710816777041942,2.1070640176600444,1.044150110375276,40.696467991169975,6.798013245033113,0.2152317880794702,7.0
3,458.0,Malaysia,1.0,0.9260162601626016,0.9626016260162602,7.047967479674797,0.7073170731707317,2.4146341463414633,1.0203252032520325,35.41219512195122,5.333333333333333,0.3333333333333333,5.0
3,504.0,Morocco,0.9944852941176471,0.8180147058823529,0.8069852941176471,5.506433823529412,0.9108455882352942,1.3216911764705883,1.0220588235294117,36.681985294117645,2.6783088235294117,0.4411764705882353,4.0
3,528.0,Netherlands,0.9755813953488373,0.9674418604651163,0.9302325581395349,7.5127906976744185,0.49883720930232556,4.504651162790697,1.0593023255813954,52.277906976744184,5.784883720930233,0.05,3.0
3,554.0,New-Zealand,0.9942575881870386,0.9622641509433962,0.9639048400328137,7.822805578342904,0.534864643150123,2.8400328137817885,1.0680885972108285,47.43806398687449,6.867104183757178,0.06070549630844955,6.0
3,566.0,Nigeria,0.9985632183908046,0.9098419540229885,0.8800287356321839,6.64691091954023,0.9655172413793104,1.7514367816091954,1.0736350574712643,30.817887931034484,5.089439655172414,0.3110632183908046,4.0
3,586.0,Pakistan,0.9940119760479041,0.6931137724550899,0.8098802395209581,5.918413173652695,0.9633233532934131,1.31062874251497,1.0067365269461077,34.14670658682635,3.75374251497006,0.2874251497005988,7.0
3,604.0,Peru,0.9932960893854749,0.5804469273743017,0.6955307262569832,6.625139664804469,0.8899441340782123,1.7994413407821228,1.059776536312849,36.265921787709495,5.670949720670391,0.36201117318435755,1.0
3,616.0,Poland,0.994279176201373,0.9382151029748284,0.9187643020594966,7.11441647597254,0.9359267734553776,2.3501144164759724,1.0789473684210527,48.18878718535469,5.546910755148741,0.2414187643020595,3.0
3,643.0,Russia,0.9778526721232547,0.7876745305729418,0.635050553683197,5.283100625902744,0.7168993740972557,1.9706307173808377,1.0288878189696677,47.78719306692345,6.166586422725084,0.11844005777563794,3.0
3,710.0,South-Africa,0.9890165596485299,0.7536329841162555,0.8036498817167962,6.600202771206488,0.8871240283879689,2.6748901655964854,1.2913146333220682,38.03818857722204,5.574687394389997,0.25667455221358565,4.0
3,716.0,Zimbabwe,1.0,0.7774343122102009,0.7457496136012365,5.352395672333849,0.9474497681607419,1.730293663060278,1.3145285935085007,34.98145285935085,4.364760432766615,0.2071097372488408,4.0
